Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
FLIC,FIRST OF LONG ISLAND CORP,Financials,Equity,"5,587,608.95",0.01,"5,587,608.95","514,987.00",10.85,United States,NASDAQ,USD,1,USD,-
OPRX,OPTIMIZERX CORP,Health Care,Equity,"5,549,808.55",0.01,"5,549,808.55","377,795.00",14.69,United States,NASDAQ,USD,1,USD,-
CIVB,CIVISTA BANCSHARES INC,Financials,Equity,"5,544,883.17",0.01,"5,544,883.17","354,759.00",15.63,United States,NASDAQ,USD,1,USD,-
FF,FUTUREFUEL CORP,Materials,Equity,"5,542,176.15",0.01,"5,542,176.15","646,695.00",8.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
MVST,MICROVAST HOLDINGS INC,Industrials,Equity,"5,535,073.44",0.01,"5,535,073.44","3,925,584.00",1.41,United States,NASDAQ,USD,1,USD,-
SMR,NUSCALE POWER CORP CLASS A,Industrials,Equity,"5,529,982.32",0.01,"5,529,982.32","714,468.00",7.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
SB,SAFE BULKERS INC,Industrials,Equity,"5,532,516.90",0.01,"5,532,516.90","1,617,695.00",3.42,Monaco,New York Stock Exchange Inc.,USD,1,USD,-
MCBC,MACATAWA BANK CORP,Financials,Equity,"5,497,947.00",0.01,"5,497,947.00","623,350.00",8.82,United States,NASDAQ,USD,1,USD,-
SPFI,SOUTH PLAINS FINANCIAL INC,Financials,Equity,"5,501,307.63",0.01,"5,501,307.63","244,829.00",22.47,United States,NASDAQ,USD,1,USD,-
BSRR,SIERRA BANCORP,Financials,Equity,"5,476,471.65",0.01,"5,476,471.65","331,305.00",16.53,United States,NASDAQ,USD,1,USD,-
JANX,JANUX THERAPEUTICS INC,Health Care,Equity,"5,471,314.88",0.01,"5,471,314.88","391,928.00",13.96,United States,NASDAQ,USD,1,USD,-
